id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
225205,Private Mission Room Near Valencia,1172942,Chris,,Mission,37.76096715,-122.4231305,Private room,115,2,289,1/12/2018,3.73,1,22
225933,Art lovers to the Duboce Triangle!,1177567,Marcia,,Castro/Upper Market,37.76840265,-122.4308606,Private room,99,3,155,1/29/2018,2.07,1,65
226594,Beautiful Cole Valley/Haight Flat.,1191853,Steve,,Haight Ashbury,37.76968017,-122.4519325,Private room,120,1,62,12/13/2017,0.8,1,339
229240,Friendly Hostel with Community #3,329072,Darren & Friends,,Financial District,37.79341364,-122.4033994,Shared room,38,1,246,1/25/2018,3.18,17,27
229912,"Modern victorian, 24th St, Mission",545609,Steph,,Mission,37.75376649,-122.4103566,Entire home/apt,450,6,24,12/30/2017,0.31,1,19
231129,Nob Hill Mini Mansion 4b/4b,1208533,Valentino,,Nob Hill,37.79113835,-122.4102948,Entire home/apt,995,2,54,10/15/2017,0.73,1,348
231752,Vintage Modern garden apartment,691445,LeighAnna,,Noe Valley,37.75564727,-122.4402179,Entire home/apt,250,30,71,6/30/2017,0.95,1,335
234394,Central+Spacious San Francisco Flat,946616,Alex,,Inner Richmond,37.78448988,-122.461881,Entire home/apt,195,3,36,12/22/2017,0.48,2,5
238190,Contempory Panaromic Penthouse II,285168,Bill,,Russian Hill,37.80300926,-122.4158089,Private room,99,2,146,1/7/2018,1.9,4,41
238204,Spacious SF Getaway Near The Ocean,1248132,Jennifer,,Parkside,37.74173893,-122.5043468,Entire home/apt,125,2,149,1/21/2018,1.95,1,344
241235,Friendly Hostel with Community #4,329072,Darren & Friends,,Financial District,37.79270773,-122.4038258,Shared room,38,1,247,1/30/2018,3.22,17,33
242008,One Bedroom SOMA apartment,1270330,Jake,,South of Market,37.77498573,-122.4063493,Entire home/apt,160,2,39,12/31/2017,0.67,1,76
242571,Outer Mission Vintage Retreat,867162,Sasha,,Excelsior,37.71518204,-122.4330986,Entire home/apt,176,2,59,1/15/2018,1.14,1,351
252321,Garden Room-Funky Wee Organic Farm,1324175,Chris,,Excelsior,37.72657163,-122.4278882,Private room,59,2,151,1/30/2018,2.26,2,252
254953,AMAZING OCEANFRONT VIEW! Long Term Stays,1339470,Luxury,,Golden Gate Park,37.77027086,-122.5109053,Entire home/apt,155,185,2,1/17/2015,0.05,2,286
